,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,original_price0,original_price9
50,7256119.847915108,7131900.540263623,6956782.707578049,6906076.143526499,6392922.075280929,5888007.628427922,6683811.136634731,6370458.429633071,8325737.049330003,7163560.07303124,7513287.77215064,6645545.709033726,6581179.184422874,7162697.13398018,6936906.026712964,6462660.171770856,5952016.718043139,5887820.8902686965,6744444.875756115,6406908.77256067,6197098.010810903,6328455.273628789,6378529.0618665125,6349512.594724873,7506000.0,7592000.0
51,7910582.029774758,7128336.372077584,7641132.528117961,7562704.393875096,6903677.097088377,6420178.014870814,7338965.711109613,7021190.64038378,9098794.142805118,7878783.800027773,8112308.232353476,7032123.951620365,6915687.527682075,7548486.30954363,7330805.366873181,6841250.40972061,6365138.701043563,6361553.605577672,7284688.674477395,6941906.891636045,6659873.427417051,6595081.642034463,6560973.237453453,6551096.8735197205,8183000.0,8350000.0
52,8129058.326820963,7143704.686210702,7748845.6613372695,7800559.941903468,7254078.798095812,6643596.486147131,7525019.029029128,7300795.5773902135,9508382.631251449,8218467.892005018,8643570.64050058,7528418.413832479,7362537.018802762,8033922.452254986,7815604.55476268,7312200.024400963,6690281.002479082,6318539.051005962,7393941.7993780365,7048906.515451119,6887325.97061293,6798972.394344684,6708331.99465829,6765231.146325143,8409000.0,8710000.0
53,8421971.238347512,7486930.368516989,8058985.200089414,7910763.284619316,7341467.115780475,6660663.174925183,7565580.415874141,7156992.995013428,9450946.355963435,8055918.674757763,8308480.068064245,7211947.978428554,7019486.9756556,7736596.471613717,7660272.7561429385,7117264.326913863,6472831.569084326,6315381.3603258,7398243.103507983,7043749.296941438,6770606.218917947,6721111.613306218,6661337.805601336,6677178.42741039,8712000.0,8542000.0
54,8260265.427063196,7244243.770371941,7878617.23710995,7875599.234681068,7265715.867662441,6636397.834396406,7546815.042958008,7153416.2868699925,9450946.355963435,8051892.728393566,8304327.90411219,7208343.806525291,7015978.986162519,7732730.106560437,7660272.7561429385,7113707.473177275,6469596.770698976,6292355.397428286,7336075.49465704,7043749.296941438,6770606.218917947,6721111.613306218,6661337.805601336,6673841.506657062,8549000.0,8618000.0
55,8260265.427063196,7240623.45864262,7874679.897161369,7871663.402979579,7262084.825249816,6633081.293749532,7543043.521197409,7199657.925109023,9446223.244341265,8193908.009748384,8395542.05035923,7266630.056549176,7082735.806406813,7810030.442392612,7656444.533876001,7255599.923651242,6622178.037211667,6289210.79203227,7332409.290012034,7040229.182350263,6767222.607614141,6717752.736937748,6658008.801200735,6912415.747432419,8548000.0,8770000.0
56,8256137.358384005,7594363.841354931,8302782.002876996,8175641.1828064555,7424575.535625458,6727290.492899479,7675076.790379542,7425085.911524296,9803928.300270444,8403193.687534431,8696068.658520535,7506436.3423617305,7255326.609965232,7758510.667401581,7503062.324262189,7395832.813300951,6700734.728881567,6428540.116418962,7536968.647339857,7208579.003381184,6942523.250308242,6879818.80704396,6735166.193923921,7031702.867820098,8961000.0,8994000.0
57,8414608.023002021,7775485.720003302,8443022.347852806,8235529.342414139,7574566.960587588,6783062.338796249,7716230.017137609,7391661.464512876,9524670.880942337,8352299.89538996,8631261.487686466,7514762.949507999,7383955.605070092,7754633.350726218,7499312.667928224,7497895.803992751,6826123.294431599,6521186.935212174,7618792.390270987,7290348.916453347,7088478.410965445,6976449.750252828,6852025.934359037,7055872.153650281,9133000.0,8944000.0
58,8369881.981266269,7743550.871582744,8382548.31225123,8205110.240617045,7511645.974458821,6811701.935337832,7786533.446182641,7387967.48077249,9519910.925479598,8348125.832473723,8626948.013679627,7554730.663810092,7371312.921655655,7754633.350726218,7519237.776311959,7480877.007739997,6838964.29210841,6488495.176545061,7548221.499333268,7235422.783177473,6932877.081462903,6859648.04874107,6738537.147974934,7080821.093862084,9089000.0,9084000.0
59,8369881.981266269,7743550.871582744,8382548.31225123,8205110.240617045,7511645.974458821,6748032.343857925,7695233.297902087,7361432.173797802,9444040.928697906,8216275.713198119,8560786.024435673,7464399.882514147,7371312.921655655,7816409.584544794,7554936.928832818,7477138.438520736,7024781.082019904,6485252.550269926,7544449.27469592,7231806.879737604,6929412.375275265,6856219.938771684,6735169.563193337,7091736.2552047465,9076000.0,8945000.0
60,8365699.131700419,7739681.031067209,8378359.132684887,8201009.73574917,7507892.028444599,6744660.013851,7691387.604100037,7357753.297149228,9439321.268063875,8212169.628383927,8556507.770550398,7460669.547740277,7367629.1071021035,7803925.637293956,7604749.699792155,7542185.673037104,6946526.153795409,6410041.414109507,7524598.847393202,7453714.3785131145,7236752.919709995,7130104.568393967,7067917.24342168,7414513.169194937,9088000.0,9195000.0
61,8709974.161988266,8063833.880670003,8886644.39834539,8669122.467773201,7860468.042069164,7076704.814532896,8109793.669117702,7741287.220381216,10013278.24805551,8823058.59258345,9230797.785077468,8049391.591616457,8026693.4955471065,7800025.624481715,8302128.493222876,8265115.697155726,6943054.626482167,6406837.995111951,7520838.428179112,7935570.661568508,7811379.601785957,7637663.618857424,7523217.082662694,7895559.922653746,9462000.0,9879000.0
62,9307392.596899532,8689168.118092714,9752027.888968106,9458046.048964277,8842408.715528235,7750429.644487902,8779751.558650037,8377568.394278635,10689432.603980908,9233890.352132834,9940429.89691768,8803996.642330678,8706757.484604327,8438166.882710818,9034376.226325134,8953463.647227671,7464601.836739321,7189127.766297683,8370110.941223143,8632994.229148682,8414506.534849599,8355377.911441026,8121865.810930651,8565283.036464307,10111000.0,10339000.0
63,10127577.227879403,9390223.099910827,10202806.427491836,9907181.237798143,8970917.729839992,8112862.473803632,9339602.588967197,8840537.167719759,11487397.973645538,10105568.172394142,10391506.665256478,9137388.959995367,9066173.725851908,8792429.125330651,9475219.24931527,9547122.585028954,7862750.295288574,7377338.234979029,8603303.571022656,9098207.449795913,8874361.935921112,8951702.894496746,8748738.672789404,8939517.139641339,11002000.0,11315000.0
64,10705664.711892152,9958554.080316775,10994915.21740802,10753941.141092576,9825173.164720071,8789551.989479013,9948578.218011126,9363683.857985985,12283298.749856962,10762005.8751524,11291800.091549171,10070887.449456492,10227613.175096901,9978777.518386474,10926431.309930628,9962930.856304472,8452473.611461695,8311988.861763946,9632360.079299213,10245786.229177836,10040561.3952549,10030550.382925797,9853936.324976401,10458283.875034792,11630000.0,12050000.0
